kota,lokasi,luas_lahan,luas_bangunan,kamar_tidur,kamar_mandi,keamanan_24jam,taman_bermain_anak,harga
Jakarta Barat,"Grogol Petamburan, Jakarta Barat",80,140,3,2,Tidak,Tidak,800000000.0
Jakarta Selatan,"Tanjung Barat, Jakarta Selatan",75,130,3,3,Tidak,Tidak,2125000000.0
Jakarta Selatan,"Jalan Pondok Indah Mall 1, Jakarta Selatan 12310, Indonesia                                        Pondok Indah, Jakarta Selatan",200,200,3,3,Ada,Tidak,7500000000.0
Jakarta Selatan,"Kalibata, Jakarta Selatan",103,207,4,4,Tidak,Tidak,4100000000.0
Jakarta Pusat,"Jalan Ki Mangunsarkoro, Jakarta Pusat, Indonesia                                        Menteng, Jakarta Pusat",716,556,6,6,Tidak,Tidak,45000000000.0
Jakarta Barat,"Puri Indah, Jakarta Barat",216,283,5,5,Ada,Ada,7565000000.0
Jakarta Selatan,"Sudirman, Jakarta Selatan",72,52,2,2,Ada,Ada,905850000.0
Jakarta Selatan,"Jagakarsa, Jakarta Selatan",85,150,4,4,Tidak,Tidak,2050000000.0
Jakarta Selatan,"Jagakarsa, Jakarta Selatan",125,180,4,4,Tidak,Tidak,2300000000.0
Jakarta Selatan,"Kebagusan, Jakarta Selatan",119,240,5,4,Tidak,Tidak,3200000000.0
Jakarta Selatan,"Jagakarsa, Jakarta Selatan",200,250,5,5,Tidak,Tidak,4950000000.0
Jakarta Selatan,"Jagakarsa, Jakarta Selatan",55,100,3,3,Tidak,Tidak,900000000.0
Jakarta Timur,"Legenda Wisata, Jakarta Timur",129,45,3,3,Tidak,Tidak,1325000000.0
Jakarta Selatan,"Srengseng Sawah, Jakarta Selatan",186,110,3,3,Tidak,Tidak,2290000000.0
Jakarta Selatan,"Ciganjur, Jakarta Selatan",110,140,4,4,Tidak,Tidak,2640000000.0
Jakarta Selatan,"Jagakarsa, Jakarta Selatan",195,230,5,5,Tidak,Tidak,4800000000.0
Jakarta Selatan,"Ciganjur, Jakarta Selatan",83,120,3,3,Ada,Tidak,2240000000.0
Jakarta Selatan,"Jagakarsa, Jakarta Selatan",150,130,3,3,Tidak,Tidak,900000000.0
Jakarta Selatan,"Kebagusan, Jakarta Selatan",77,130,3,3,Tidak,Tidak,2125000000.0
Jakarta Selatan,Jakarta Selatan,675,340,4,4,Ada,Ada,25000000000.0
Jakarta Timur,"Halim Perdana Kusumah, Jakarta Timur",71,50,2,1,Ada,Ada,300000000.0
Jakarta Timur,"Kramat Jati, Jakarta Timur",106,36,2,2,Ada,Ada,300000000.0
Jakarta Timur,"Cililitan, Jakarta Timur",87,55,2,2,Ada,Ada,300000000.0
Jakarta Timur,"Cawang, Jakarta Timur",71,50,2,2,Ada,Ada,300000000.0
Jakarta Timur,"Kampung Melayu, Jakarta Timur",65,45,2,2,Ada,Ada,300000000.0
Jakarta Selatan,"Kemang, Jakarta Selatan",573,350,5,3,Tidak,Tidak,16200000000.0
Jakarta Selatan,"Jl. Taman Setia Budi II No.11, RT.5/RW.3, Kuningan, Setia Budi, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12910, Indonesia                                        SetiaBudi, Jakarta Selatan",149,125,9,4,Tidak,Tidak,2800000000.0
Jakarta Selatan,"Kemang, Jakarta Selatan",544,1000,5,6,Tidak,Tidak,17500000000.0
Jakarta Selatan,"Pondok Indah, Jakarta Selatan",560,500,5,5,Tidak,Tidak,22500000000.0
Jakarta Pusat,"Gunung Sahari, Jakarta Pusat",60,180,5,3,Ada,Tidak,1250000000.0
Jakarta Timur,"Duren Sawit, Jakarta Timur",96,200,4,3,Ada,Tidak,1900000000.0
Jakarta Selatan,"Jagakarsa, Jakarta Selatan",84,160,5,5,Ada,Ada,2250000000.0
Jakarta Selatan,"Pondok Labu, Jakarta Selatan",172,316,4,4,Tidak,Tidak,6124000000.0
Jakarta Pusat,"Menteng, Jakarta Pusat",312,400,4,4,Tidak,Tidak,17500000000.0
Jakarta Utara,"Semper, Jakarta Utara",135,160,4,3,Tidak,Tidak,2200000000.0
Jakarta Selatan,Jakarta Selatan,140,390,4,4,Ada,Tidak,11000000000.0
Jakarta Utara,"Pademangan, Jakarta Utara",120,300,3,3,Ada,Tidak,2750000000.0
Jakarta Selatan,"Jalan Zamrud IV                                        Permata Hijau, Jakarta Selatan",617,800,5,5,Tidak,Tidak,16500000000.0
Jakarta Barat,"Jl. Arjuna Selatan                                        Kebon Jeruk, Jakarta Barat",240,300,3,3,Tidak,Tidak,4300000000.0
Jakarta Selatan,"Jalan Cendrawasih Raya                                        Bintaro, Jakarta Selatan",381,400,4,4,Tidak,Tidak,4400000000.0
Jakarta Timur,"Jalan Bambu Apus Raya, Jakarta Timur 13890, Indonesia                                        Bambu Apus, Jakarta Timur",879,1034,8,8,Ada,Tidak,17000000000.0
Jakarta Timur,"Condet, Jakarta Timur",68,68,3,2,Ada,Tidak,799000000.0
Jakarta Timur,Jakarta Timur,68,68,3,2,Ada,Tidak,799000000.0
Jakarta Selatan,"Jagakarsa, Jakarta Selatan",60,68,3,2,Tidak,Tidak,799000000.0
Jakarta Pusat,"Jln Raya Parpostel                                        Cempaka Putih, Jakarta Pusat",78,48,2,2,Ada,Tidak,504000000.0
Jakarta Timur,Jln Raya Parpostel                                        Jakarta Timur,78,48,2,2,Ada,Tidak,504000000.0
Jakarta Utara,"Sunter, Jakarta Utara",90,120,3,2,Ada,Tidak,1800000000.0
Jakarta Selatan,"Pesanggrahan, Jakarta Selatan",61,84,3,2,Tidak,Tidak,1085000000.0
Jakarta Barat,"Tomang, Jakarta Barat",52,52,2,1,Tidak,Tidak,700000000.0
Jakarta Timur,"Jln Raya Parpostel                                        Cipayung, Jakarta Timur",78,48,2,2,Ada,Tidak,504000000.0
Jakarta Selatan,Jakarta Selatan,300,400,6,6,Tidak,Tidak,12500000000.0
Jakarta Selatan,"Cilandak, Jakarta Selatan",293,400,4,4,Tidak,Tidak,10500000000.0
Jakarta Barat,"Daan Mogot, Jakarta Barat",200,580,6,6,Ada,Tidak,5700000000.0
Jakarta Selatan,Jagakarsa Jakarta Selatan                                        Jakarta Selatan,131,250,5,5,Ada,Tidak,3970000000.0
Jakarta Utara,"Pantai Indah Kapuk, Jakarta Utara",90,105,3,3,Tidak,Tidak,4000000000.0
Jakarta Timur,"Ciracas, Jakarta Timur",60,68,3,2,Ada,Tidak,799000000.0
Jakarta Timur,"Ciracas, Jakarta Timur",68,68,3,2,Ada,Tidak,799000000.0
Jakarta Utara,"Kelapa Gading, Jakarta Utara",200,540,3,3,Tidak,Tidak,9900000000.0
Jakarta Selatan,"Kuningan, Jakarta Selatan",440,400,4,4,Ada,Ada,23000000000.0
Jakarta Selatan,"Pondok Indah, Jakarta Selatan",1700,1000,8,6,Ada,Tidak,185000000000.0
Jakarta Utara,"Pantai Indah Kapuk, Jakarta Utara",75,107,4,4,Tidak,Tidak,2700000000.0
Jakarta Barat,"Cengkareng, Jakarta Barat",126,126,4,4,Tidak,Tidak,2550000000.0
Jakarta Utara,"Pantai Indah Kapuk, Jakarta Utara",107,75,4,4,Tidak,Tidak,2720000000.0
Jakarta Selatan,"Lebak Bulus, Jakarta Selatan",112,250,2,2,Ada,Tidak,5100000000.0
Jakarta Selatan,"Kebagusan, Jakarta Selatan",77,100,3,3,Tidak,Tidak,2250000000.0
